id,grade,subject,unit,lesson,question_number,question
155,1,English,1,1,5,Fill in the missing letter: h_t
156,1,English,1,2,1,Fill in the missing letter: b_s
157,1,English,1,2,2,Fill in the missing letter: p_n
158,1,English,1,2,3,Fill in the missing letter: c_p
159,1,English,1,2,4,Fill in the missing letter: h_t
160,1,English,1,2,5,Fill in the missing letter: b_d
161,1,English,1,3,1,Fill in the missing letter: p_n
162,1,English,1,3,2,Fill in the missing letter: c_p
163,1,English,1,3,3,Fill in the missing letter: h_t
164,1,English,1,3,4,Fill in the missing letter: b_d
165,1,English,1,3,5,Fill in the missing letter: m_p
166,1,English,2,1,1,Fill in the missing letter: b_s
167,1,English,2,1,2,Fill in the missing letter: p_n
168,1,English,2,1,3,Fill in the missing letter: c_p
169,1,English,2,1,4,Fill in the missing letter: h_t
170,1,English,2,1,5,Fill in the missing letter: b_d
171,1,English,2,2,1,Fill in the missing letter: p_n
172,1,English,2,2,2,Fill in the missing letter: c_p
173,1,English,2,2,3,Fill in the missing letter: h_t
174,1,English,2,2,4,Fill in the missing letter: b_d
175,1,English,2,2,5,Fill in the missing letter: m_p
176,1,English,2,3,1,Fill in the missing letter: c_p
177,1,English,2,3,2,Fill in the missing letter: h_t
178,1,English,2,3,3,Fill in the missing letter: b_d
179,1,English,2,3,4,Fill in the missing letter: m_p
180,1,English,2,3,5,Fill in the missing letter: c_t
181,1,English,3,1,1,Fill in the missing letter: p_n
182,1,English,3,1,2,Fill in the missing letter: c_p
183,1,English,3,1,3,Fill in the missing letter: h_t
184,1,English,3,1,4,Fill in the missing letter: b_d
185,1,English,3,1,5,Fill in the missing letter: m_p
186,1,English,3,2,1,Fill in the missing letter: c_p
187,1,English,3,2,2,Fill in the missing letter: h_t
188,1,English,3,2,3,Fill in the missing letter: b_d
189,1,English,3,2,4,Fill in the missing letter: m_p
190,1,English,3,2,5,Fill in the missing letter: c_t
191,1,English,3,3,1,Fill in the missing letter: h_t
192,1,English,3,3,2,Fill in the missing letter: b_d
193,1,English,3,3,3,Fill in the missing letter: m_p
194,1,English,3,3,4,Fill in the missing letter: c_t
195,1,English,3,3,5,Fill in the missing letter: d_g
196,1,English,4,1,1,Fill in the missing letter: c_p
197,1,English,4,1,2,Fill in the missing letter: h_t
198,1,English,4,1,3,Fill in the missing letter: b_d
199,1,English,4,1,4,Fill in the missing letter: m_p
200,1,English,4,1,5,Fill in the missing letter: c_t
201,1,English,4,2,1,Fill in the missing letter: h_t
202,1,English,4,2,2,Fill in the missing letter: b_d
203,1,English,4,2,3,Fill in the missing letter: m_p
204,1,English,4,2,4,Fill in the missing letter: c_t
205,1,English,4,2,5,Fill in the missing letter: d_g
206,1,English,4,3,1,Fill in the missing letter: b_d
207,1,English,4,3,2,Fill in the missing letter: m_p
208,1,English,4,3,3,Fill in the missing letter: c_t
209,1,English,4,3,4,Fill in the missing letter: d_g
210,1,English,4,3,5,Fill in the missing letter: s_n
211,1,English,5,1,1,Fill in the missing letter: h_t
212,1,English,5,1,2,Fill in the missing letter: b_d
213,1,English,5,1,3,Fill in the missing letter: m_p
214,1,English,5,1,4,Fill in the missing letter: c_t
215,1,English,5,1,5,Fill in the missing letter: d_g
216,1,English,5,2,1,Fill in the missing letter: b_d
217,1,English,5,2,2,Fill in the missing letter: m_p
218,1,English,5,2,3,Fill in the missing letter: c_t
219,1,English,5,2,4,Fill in the missing letter: d_g
220,1,English,5,2,5,Fill in the missing letter: s_n
221,1,English,5,3,1,Fill in the missing letter: m_p
222,1,English,5,3,2,Fill in the missing letter: c_t
223,1,English,5,3,3,Fill in the missing letter: d_g
224,1,English,5,3,4,Fill in the missing letter: s_n
225,1,English,5,3,5,Fill in the missing letter: t_ee
226,1,English,6,1,1,Fill in the missing letter: b_d
227,1,English,6,1,2,Fill in the missing letter: m_p
228,1,English,6,1,3,Fill in the missing letter: c_t
229,1,English,6,1,4,Fill in the missing letter: d_g
230,1,English,6,1,5,Fill in the missing letter: s_n
231,1,English,6,2,1,Fill in the missing letter: m_p
232,1,English,6,2,2,Fill in the missing letter: c_t
233,1,English,6,2,3,Fill in the missing letter: d_g
234,1,English,6,2,4,Fill in the missing letter: s_n
235,1,English,6,2,5,Fill in the missing letter: t_ee
236,1,English,6,3,1,Fill in the missing letter: c_t
237,1,English,6,3,2,Fill in the missing letter: d_g
238,1,English,6,3,3,Fill in the missing letter: s_n
239,1,English,6,3,4,Fill in the missing letter: t_ee
240,1,English,6,3,5,Fill in the missing letter: b_s
241,1,English,7,1,1,Fill in the missing letter: m_p
242,1,English,7,1,2,Fill in the missing letter: c_t
243,1,English,7,1,3,Fill in the missing letter: d_g
244,1,English,7,1,4,Fill in the missing letter: s_n
245,1,English,7,1,5,Fill in the missing letter: t_ee
246,1,English,7,2,1,Fill in the missing letter: c_t
247,1,English,7,2,2,Fill in the missing letter: d_g
248,1,English,7,2,3,Fill in the missing letter: s_n
249,1,English,7,2,4,Fill in the missing letter: t_ee
250,1,English,7,2,5,Fill in the missing letter: b_s
251,1,English,7,3,1,Fill in the missing letter: d_g
252,1,English,7,3,2,Fill in the missing letter: s_n
253,1,English,7,3,3,Fill in the missing letter: t_ee
254,1,English,7,3,4,Fill in the missing letter: b_s
255,1,English,7,3,5,Fill in the missing letter: p_n
256,1,English,8,1,1,Fill in the missing letter: c_t
257,1,English,8,1,2,Fill in the missing letter: d_g
258,1,English,8,1,3,Fill in the missing letter: s_n
259,1,English,8,1,4,Fill in the missing letter: t_ee
260,1,English,8,1,5,Fill in the missing letter: b_s
261,1,English,8,2,1,Fill in the missing letter: d_g
262,1,English,8,2,2,Fill in the missing letter: s_n
263,1,English,8,2,3,Fill in the missing letter: t_ee
264,1,English,8,2,4,Fill in the missing letter: b_s
265,1,English,8,2,5,Fill in the missing letter: p_n
266,1,English,8,3,1,Fill in the missing letter: s_n
267,1,English,8,3,2,Fill in the missing letter: t_ee
268,1,English,8,3,3,Fill in the missing letter: b_s
269,1,English,8,3,4,Fill in the missing letter: p_n
270,1,English,8,3,5,Fill in the missing letter: c_p
271,1,English,9,1,1,Fill in the missing letter: d_g
272,1,English,9,1,2,Fill in the missing letter: s_n
273,1,English,9,1,3,Fill in the missing letter: t_ee
274,1,English,9,1,4,Fill in the missing letter: b_s
275,1,English,9,1,5,Fill in the missing letter: p_n
276,1,English,9,2,1,Fill in the missing letter: s_n
277,1,English,9,2,2,Fill in the missing letter: t_ee
278,1,English,9,2,3,Fill in the missing letter: b_s
279,1,English,9,2,4,Fill in the missing letter: p_n
280,1,English,9,2,5,Fill in the missing letter: c_p
281,1,English,9,3,1,Fill in the missing letter: t_ee
282,1,English,9,3,2,Fill in the missing letter: b_s
283,1,English,9,3,3,Fill in the missing letter: p_n
284,1,English,9,3,4,Fill in the missing letter: c_p
285,1,English,9,3,5,Fill in the missing letter: h_t
286,1,English,10,1,1,Fill in the missing letter: s_n
287,1,English,10,1,2,Fill in the missing letter: t_ee
288,1,English,10,1,3,Fill in the missing letter: b_s
289,1,English,10,1,4,Fill in the missing letter: p_n
290,1,English,10,1,5,Fill in the missing letter: c_p
291,1,English,10,2,1,Fill in the missing letter: t_ee
292,1,English,10,2,2,Fill in the missing letter: b_s
293,1,English,10,2,3,Fill in the missing letter: p_n
294,1,English,10,2,4,Fill in the missing letter: c_p
295,1,English,10,2,5,Fill in the missing letter: h_t
296,1,English,10,3,1,Fill in the missing letter: b_s
297,1,English,10,3,2,Fill in the missing letter: p_n
298,1,English,10,3,3,Fill in the missing letter: c_p
299,1,English,10,3,4,Fill in the missing letter: h_t
300,1,English,10,3,5,Fill in the missing letter: b_d
301,1,Science,1,1,1,Name one way the bird helps living things.
302,1,Science,1,1,2,Name one way the soil helps living things.
303,1,Science,1,1,3,Name one way the rain helps living things.
304,1,Science,1,1,4,Name one way the sun helps living things.
305,1,Science,1,1,5,Name one way the tree helps living things.
306,1,Science,1,2,1,Name one way the soil helps living things.
307,1,Science,1,2,2,Name one way the rain helps living things.
308,1,Science,1,2,3,Name one way the sun helps living things.
309,1,Science,1,2,4,Name one way the tree helps living things.
310,1,Science,1,2,5,Name one way the water helps living things.
311,1,Science,1,3,1,Name one way the rain helps living things.
312,1,Science,1,3,2,Name one way the sun helps living things.
313,1,Science,1,3,3,Name one way the tree helps living things.
314,1,Science,1,3,4,Name one way the water helps living things.
315,1,Science,1,3,5,Name one way the bird helps living things.
316,1,Science,2,1,1,Name one way the soil helps living things.
317,1,Science,2,1,2,Name one way the rain helps living things.
318,1,Science,2,1,3,Name one way the sun helps living things.
319,1,Science,2,1,4,Name one way the tree helps living things.
320,1,Science,2,1,5,Name one way the water helps living things.
321,1,Science,2,2,1,Name one way the rain helps living things.
322,1,Science,2,2,2,Name one way the sun helps living things.
323,1,Science,2,2,3,Name one way the tree helps living things.
324,1,Science,2,2,4,Name one way the water helps living things.
325,1,Science,2,2,5,Name one way the bird helps living things.
326,1,Science,2,3,1,Name one way the sun helps living things.
327,1,Science,2,3,2,Name one way the tree helps living things.
328,1,Science,2,3,3,Name one way the water helps living things.
329,1,Science,2,3,4,Name one way the bird helps living things.
330,1,Science,2,3,5,Name one way the soil helps living things.
331,1,Science,3,1,1,Name one way the rain helps living things.
332,1,Science,3,1,2,Name one way the sun helps living things.
333,1,Science,3,1,3,Name one way the tree helps living things.
334,1,Science,3,1,4,Name one way the water helps living things.
335,1,Science,3,1,5,Name one way the bird helps living things.
336,1,Science,3,2,1,Name one way the sun helps living things.
337,1,Science,3,2,2,Name one way the tree helps living things.
338,1,Science,3,2,3,Name one way the water helps living things.
339,1,Science,3,2,4,Name one way the bird helps living things.
340,1,Science,3,2,5,Name one way the soil helps living things.
341,1,Science,3,3,1,Name one way the tree helps living things.
342,1,Science,3,3,2,Name one way the water helps living things.
343,1,Science,3,3,3,Name one way the bird helps living things.
344,1,Science,3,3,4,Name one way the soil helps living things.
345,1,Science,3,3,5,Name one way the rain helps living things.
346,1,Science,4,1,1,Name one way the sun helps living things.
347,1,Science,4,1,2,Name one way the tree helps living things.
348,1,Science,4,1,3,Name one way the water helps living things.
349,1,Science,4,1,4,Name one way the bird helps living things.
350,1,Science,4,1,5,Name one way the soil helps living things.
351,1,Science,4,2,1,Name one way the tree helps living things.
352,1,Science,4,2,2,Name one way the water helps living things.
353,1,Science,4,2,3,Name one way the bird helps living things.
354,1,Science,4,2,4,Name one way the soil helps living things.
355,1,Science,4,2,5,Name one way the rain helps living things.
356,1,Science,4,3,1,Name one way the water helps living things.
357,1,Science,4,3,2,Name one way the bird helps living things.
358,1,Science,4,3,3,Name one way the soil helps living things.
359,1,Science,4,3,4,Name one way the rain helps living things.
360,1,Science,4,3,5,Name one way the sun helps living things.
361,1,Science,5,1,1,Name one way the tree helps living things.
362,1,Science,5,1,2,Name one way the water helps living things.
363,1,Science,5,1,3,Name one way the bird helps living things.
364,1,Science,5,1,4,Name one way the soil helps living things.
365,1,Science,5,1,5,Name one way the rain helps living things.
366,1,Science,5,2,1,Name one way the water helps living things.
367,1,Science,5,2,2,Name one way the bird helps living things.
368,1,Science,5,2,3,Name one way the soil helps living things.
369,1,Science,5,2,4,Name one way the rain helps living things.
370,1,Science,5,2,5,Name one way the sun helps living things.
371,1,Science,5,3,1,Name one way the bird helps living things.
372,1,Science,5,3,2,Name one way the soil helps living things.
373,1,Science,5,3,3,Name one way the rain helps living things.
374,1,Science,5,3,4,Name one way the sun helps living things.
375,1,Science,5,3,5,Name one way the tree helps living things.
376,1,Science,6,1,1,Name one way the water helps living things.
377,1,Science,6,1,2,Name one way the bird helps living things.
378,1,Science,6,1,3,Name one way the soil helps living things.
379,1,Science,6,1,4,Name one way the rain helps living things.
380,1,Science,6,1,5,Name one way the sun helps living things.
381,1,Science,6,2,1,Name one way the bird helps living things.
382,1,Science,6,2,2,Name one way the soil helps living things.
383,1,Science,6,2,3,Name one way the rain helps living things.
384,1,Science,6,2,4,Name one way the sun helps living things.
385,1,Science,6,2,5,Name one way the tree helps living things.
386,1,Science,6,3,1,Name one way the soil helps living things.
387,1,Science,6,3,2,Name one way the rain helps living things.
388,1,Science,6,3,3,Name one way the sun helps living things.
389,1,Science,6,3,4,Name one way the tree helps living things.
390,1,Science,6,3,5,Name one way the water helps living things.
391,1,Science,7,1,1,Name one way the bird helps living things.
392,1,Science,7,1,2,Name one way the soil helps living things.
393,1,Science,7,1,3,Name one way the rain helps living things.
394,1,Science,7,1,4,Name one way the sun helps living things.
395,1,Science,7,1,5,Name one way the tree helps living things.
396,1,Science,7,2,1,Name one way the soil helps living things.
397,1,Science,7,2,2,Name one way the rain helps living things.
398,1,Science,7,2,3,Name one way the sun helps living things.
399,1,Science,7,2,4,Name one way the tree helps living things.
400,1,Science,7,2,5,Name one way the water helps living things.
401,1,Science,7,3,1,Name one way the rain helps living things.
402,1,Science,7,3,2,Name one way the sun helps living things.
403,1,Science,7,3,3,Name one way the tree helps living things.
404,1,Science,7,3,4,Name one way the water helps living things.
405,1,Science,7,3,5,Name one way the bird helps living things.
406,1,Science,8,1,1,Name one way the soil helps living things.
407,1,Science,8,1,2,Name one way the rain helps living things.
408,1,Science,8,1,3,Name one way the sun helps living things.
409,1,Science,8,1,4,Name one way the tree helps living things.
410,1,Science,8,1,5,Name one way the water helps living things.
411,1,Science,8,2,1,Name one way the rain helps living things.
412,1,Science,8,2,2,Name one way the sun helps living things.
413,1,Science,8,2,3,Name one way the tree helps living things.
414,1,Science,8,2,4,Name one way the water helps living things.
415,1,Science,8,2,5,Name one way the bird helps living things.
416,1,Science,8,3,1,Name one way the sun helps living things.
417,1,Science,8,3,2,Name one way the tree helps living things.
418,1,Science,8,3,3,Name one way the water helps living things.
419,1,Science,8,3,4,Name one way the bird helps living things.
420,1,Science,8,3,5,Name one way the soil helps living things.
421,1,Science,9,1,1,Name one way the rain helps living things.
422,1,Science,9,1,2,Name one way the sun helps living things.
423,1,Science,9,1,3,Name one way the tree helps living things.
424,1,Science,9,1,4,Name one way the water helps living things.
425,1,Science,9,1,5,Name one way the bird helps living things.
426,1,Science,9,2,1,Name one way the sun helps living things.
427,1,Science,9,2,2,Name one way the tree helps living things.
428,1,Science,9,2,3,Name one way the water helps living things.
429,1,Science,9,2,4,Name one way the bird helps living things.
430,1,Science,9,2,5,Name one way the soil helps living things.
431,1,Science,9,3,1,Name one way the tree helps living things.
432,1,Science,9,3,2,Name one way the water helps living things.
433,1,Science,9,3,3,Name one way the bird helps living things.
434,1,Science,9,3,4,Name one way the soil helps living things.
435,1,Science,9,3,5,Name one way the rain helps living things.
436,1,Science,10,1,1,Name one way the sun helps living things.
437,1,Science,10,1,2,Name one way the tree helps living things.
438,1,Science,10,1,3,Name one way the water helps living things.
439,1,Science,10,1,4,Name one way the bird helps living things.
440,1,Science,10,1,5,Name one way the soil helps living things.
441,1,Science,10,2,1,Name one way the tree helps living things.
442,1,Science,10,2,2,Name one way the water helps living things.
443,1,Science,10,2,3,Name one way the bird helps living things.
444,1,Science,10,2,4,Name one way the soil helps living things.
445,1,Science,10,2,5,Name one way the rain helps living things.
446,1,Science,10,3,1,Name one way the water helps living things.
447,1,Science,10,3,2,Name one way the bird helps living things.
448,1,Science,10,3,3,Name one way the soil helps living things.
449,1,Science,10,3,4,Name one way the rain helps living things.
450,1,Science,10,3,5,Name one way the sun helps living things.
451,2,Math,1,1,1,What is 31 minus 4?
452,2,Math,1,1,2,What is 32 minus 5?
453,2,Math,1,1,3,What is 33 minus 6?
454,2,Math,1,1,4,What is 34 minus 7?
455,2,Math,1,1,5,What is 35 minus 8?
456,2,Math,1,2,1,What is 11 minus 5?
457,2,Math,1,2,2,What is 12 minus 6?
458,2,Math,1,2,3,What is 13 minus 7?
459,2,Math,1,2,4,What is 14 minus 8?
460,2,Math,1,2,5,What is 15 minus 9?
461,2,Math,1,3,1,What is 21 minus 6?
462,2,Math,1,3,2,What is 22 minus 7?
463,2,Math,1,3,3,What is 23 minus 8?
464,2,Math,1,3,4,What is 24 minus 9?
465,2,Math,1,3,5,What is 25 minus 1?
466,2,Math,2,1,1,What is 11 minus 5?
467,2,Math,2,1,2,What is 12 minus 6?
468,2,Math,2,1,3,What is 13 minus 7?
469,2,Math,2,1,4,What is 14 minus 8?
470,2,Math,2,1,5,What is 15 minus 9?
471,2,Math,2,2,1,What is 21 minus 6?
472,2,Math,2,2,2,What is 22 minus 7?
473,2,Math,2,2,3,What is 23 minus 8?
474,2,Math,2,2,4,What is 24 minus 9?
475,2,Math,2,2,5,What is 25 minus 1?
476,2,Math,2,3,1,What is 31 minus 7?
477,2,Math,2,3,2,What is 32 minus 8?
478,2,Math,2,3,3,What is 33 minus 9?
479,2,Math,2,3,4,What is 34 minus 1?
480,2,Math,2,3,5,What is 35 minus 2?
481,2,Math,3,1,1,What is 21 minus 6?
482,2,Math,3,1,2,What is 22 minus 7?
483,2,Math,3,1,3,What is 23 minus 8?
484,2,Math,3,1,4,What is 24 minus 9?
485,2,Math,3,1,5,What is 25 minus 1?
486,2,Math,3,2,1,What is 31 minus 7?
487,2,Math,3,2,2,What is 32 minus 8?
488,2,Math,3,2,3,What is 33 minus 9?
489,2,Math,3,2,4,What is 34 minus 1?
490,2,Math,3,2,5,What is 35 minus 2?
491,2,Math,3,3,1,What is 11 minus 8?
492,2,Math,3,3,2,What is 12 minus 9?
493,2,Math,3,3,3,What is 13 minus 1?
494,2,Math,3,3,4,What is 14 minus 2?
495,2,Math,3,3,5,What is 15 minus 3?
496,2,Math,4,1,1,What is 31 minus 7?
497,2,Math,4,1,2,What is 32 minus 8?
498,2,Math,4,1,3,What is 33 minus 9?
499,2,Math,4,1,4,What is 34 minus 1?
500,2,Math,4,1,5,What is 35 minus 2?
501,2,Math,4,2,1,What is 11 minus 8?
502,2,Math,4,2,2,What is 12 minus 9?
503,2,Math,4,2,3,What is 13 minus 1?
504,2,Math,4,2,4,What is 14 minus 2?
505,2,Math,4,2,5,What is 15 minus 3?
506,2,Math,4,3,1,What is 21 minus 9?
507,2,Math,4,3,2,What is 22 minus 1?
508,2,Math,4,3,3,What is 23 minus 2?
509,2,Math,4,3,4,What is 24 minus 3?
510,2,Math,4,3,5,What is 25 minus 4?
511,2,Math,5,1,1,What is 11 minus 8?
512,2,Math,5,1,2,What is 12 minus 9?
513,2,Math,5,1,3,What is 13 minus 1?
514,2,Math,5,1,4,What is 14 minus 2?
515,2,Math,5,1,5,What is 15 minus 3?
516,2,Math,5,2,1,What is 21 minus 9?
517,2,Math,5,2,2,What is 22 minus 1?
518,2,Math,5,2,3,What is 23 minus 2?
519,2,Math,5,2,4,What is 24 minus 3?
520,2,Math,5,2,5,What is 25 minus 4?
521,2,Math,5,3,1,What is 31 minus 1?
522,2,Math,5,3,2,What is 32 minus 2?
523,2,Math,5,3,3,What is 33 minus 3?
524,2,Math,5,3,4,What is 34 minus 4?
525,2,Math,5,3,5,What is 35 minus 5?
526,2,Math,6,1,1,What is 21 minus 9?
527,2,Math,6,1,2,What is 22 minus 1?
528,2,Math,6,1,3,What is 23 minus 2?
529,2,Math,6,1,4,What is 24 minus 3?
530,2,Math,6,1,5,What is 25 minus 4?
531,2,Math,6,2,1,What is 31 minus 1?
532,2,Math,6,2,2,What is 32 minus 2?
533,2,Math,6,2,3,What is 33 minus 3?
534,2,Math,6,2,4,What is 34 minus 4?
535,2,Math,6,2,5,What is 35 minus 5?
536,2,Math,6,3,1,What is 11 minus 2?
537,2,Math,6,3,2,What is 12 minus 3?
538,2,Math,6,3,3,What is 13 minus 4?
539,2,Math,6,3,4,What is 14 minus 5?
540,2,Math,6,3,5,What is 15 minus 6?
541,2,Math,7,1,1,What is 31 minus 1?
542,2,Math,7,1,2,What is 32 minus 2?
543,2,Math,7,1,3,What is 33 minus 3?
544,2,Math,7,1,4,What is 34 minus 4?
545,2,Math,7,1,5,What is 35 minus 5?
546,2,Math,7,2,1,What is 11 minus 2?
547,2,Math,7,2,2,What is 12 minus 3?
548,2,Math,7,2,3,What is 13 minus 4?
549,2,Math,7,2,4,What is 14 minus 5?
550,2,Math,7,2,5,What is 15 minus 6?
551,2,Math,7,3,1,What is 21 minus 3?
552,2,Math,7,3,2,What is 22 minus 4?
553,2,Math,7,3,3,What is 23 minus 5?
554,2,Math,7,3,4,What is 24 minus 6?
555,2,Math,7,3,5,What is 25 minus 7?
556,2,Math,8,1,1,What is 11 minus 2?
557,2,Math,8,1,2,What is 12 minus 3?
558,2,Math,8,1,3,What is 13 minus 4?
559,2,Math,8,1,4,What is 14 minus 5?
560,2,Math,8,1,5,What is 15 minus 6?
561,2,Math,8,2,1,What is 21 minus 3?
562,2,Math,8,2,2,What is 22 minus 4?
563,2,Math,8,2,3,What is 23 minus 5?
